char,division,division_tw,region
驚,艹勹口馬,卝勹口馬,GBK
喝,口日勹乚,,GB0
萬,艹禺,,GBK
景,日小,,GB0
備,亻龷丿用,,GBK
周,土口,,GB0
原,厂白小,,GB0
睡,目千龷一,目千艹二,GB0
桌,卜日木,,GB0
趙,走小月,,GBK
管,竹宀尸コ,,GB0
流,氵亠厶,氵七丶,GB0
七,七,,GB0
隨,阝工辶,,GBK
美,羊大,,GB0
越,走戈乚,,GB0
韻,立日口貝,,GBK
尚,尚,,GB0
市,亠巾,,GB0
擡,扌士口至,,GBK
叔,上小又,,GB0
團,囗寸,,GBK
節,竹彐厶卩,,GBK
刻,亥刂,,GB0
目,目,,GB0
由,由,,GB0
米,米,,GB0
句,勹口,,GB0
楊,木日一,,GBK
館,食宀尸コ,,GBK
君,彐丿口,,GB0
班,王リ王,,GB0
側,亻貝刂,,GBK
息,自心,,GB0
木,木,,GB0
取,耳又,,GB0
包,勹巳,,GB0
未,未,,GB0
茶,艹人木,,GB0
著,艹耂日,,GB0
眉,目,,GB0
媽,女馬,,GBK
品,口口口,,GB0
至,至,,GB0
泰,𡗗水,,GB0
杯,木不,,GB0
誰,言隹,,GBK
者,耂日,,GB0
寶,宀王缶貝,,GBK
肉,冂人人,,GB0
根,木艮,,GB0
座,广人人土,,GB0
爺,八乂耳阝,,GBK
紅,糹工,,GBK
需,雨而,,GB0
傷,亻𠂉日,,GBK
度,广卄一又,,GB0
考,耂丂,,GB0
排,扌非,,GB0
容,穴人口,,GB0
式,弋工,,GB0
觀,艹口口見,卝口口見,GBK
鐘,金立里,,GBK
細,糹田,,GBK
辦,辛力辛,,GBK
推,扌隹,,GB0
伯,亻白,,GB0
決,氵ユ人,,GBK
認,言刀丶心,,GBK
議,言羊丿戈,,GBK
突,穴犬,,GB0
查,木日一,,GB0
衆,丿皿亻二,,GBK
利,禾刂,,GB0
餘,食人一木,,GBK
嘆,口卄一夫,,GBK
慶,乛心夊,,GBK
反,⺁又,厂又,GB0
衣,亠𧘇,,GB0
總,糹夊心,糹心,GBK
較,車亠八乂,,GBK
