char,division,division_tw,region
鬼,鬼,,CJK
娘,女丶艮,,CJK
取,耳又,,CJK
式,弋工,,CJK
除,阝人一木,,CJK
级,纟乃乀,纟丿乛又,CJK
考,耂丂,,CJK
建,彐廴,,CJK
愿,厂白小心,,CJK
招,扌刀口,,CJK
饭,饣⺁又,饣厂又,CJK
布,巾,,CJK
续,纟十乛大,,CJK
程,禾口王,禾口壬,CJK
首,䒑自,,CJK
观,又见,,CJK
朋,月月,,CJK
务,夊力,,CJK
掉,扌⺊早,,CJK
赶,走干,,CJK
忽,勹心,,CJK
注,氵丶王,,CJK
术,木丶,,CJK
甚,其乚,,CJK
差,⺶工,,CJK
呵,口丁口,,CJK
展,尸艹,,CJK
争,⺈彐亅,,CJK
品,口口口,,CJK
兰,䒑二,,CJK
宝,宀王丶,,CJK
香,禾日,,CJK
斗,⺀十,,CJK
故,古夊,,CJK
雷,雨田,,CJK
念,人丶乛心,人一乛心,CJK
段,亻三殳,,CJK
顿,七凵页,,CJK
角,⺈用,⺈土,CJK
疑,匕矢マ龰,,CJK
护,扌户,扌戶,CJK
闪,门人,,CJK
木,木,,CJK
需,雨而,,CJK
调,讠土口,,CJK
类,米大,,CJK
妹,女未,,CJK
爸,八乂巴,,CJK
线,纟一戈,,CJK
左,工,,CJK
游,氵方𠂉子,,CJK
派,氵⺁,,CJK
谈,讠火火,,CJK
激,氵白方夊,,CJK
冰,冫水,,CJK
敌,舌夊,,CJK
跳,足儿冫,,CJK
支,十又,,CJK
约,纟勹丶,,CJK
巴,巴,,CJK
您,亻⺈小心,,CJK
顾,厂㔾页,,CJK
肯,止月,止⺼,CJK
醒,酉日生,,CJK
铁,钅丿夫,,CJK
抱,扌勹巳,,CJK
淡,氵火火,,CJK
造,⺧口辶,,CJK
伙,亻火,,CJK
资,冫欠贝,二欠贝,CJK
群,彐丿口羊,,CJK
集,隹木,,CJK
联,耳䒑大,,CJK
商,亠丷冂口,,CJK
号,口丂,,CJK
节,艹,,CJK
讲,讠二,,CJK
