食,nsi,Ŝí
艮,nge,Gěn -> Ge
兀,nwu,Wù
囗,nwe,Wéi 🈑圍本字 ㊟不是口
小,nxa,Xiǎo -> Xa
⺌,nxa,Xiǎo -> Xa 🈑同小
,nxa,
⺍,na,Xiǎo -> Xa 🈤不取聲母
,na,
米,nmi,Mǐ
自,nvi,Zì -> Vi 🈤Z和Ẑ作V
貝,nbe,Bèi -> Be
竹,nu,Ẑú -> Vu 🈤不取聲母 🈤Z和Ẑ作V
⺮,nu,
,no,🈤無讀音取o
,no,
气,nqi,Qì
西,ni,Xī 🈤不取聲母
酉,nyo,Yǒu -> Yo
石,psi,Ŝí
儿,pe,ér -> Je 🈤零聲母小碼取J但此處跳過
,pe,🈤無讀音取o
川,pca,Ĉuān -> Ca
巛,pca,㊟同川歸併
巜,pca,
勹,pa,Bāo -> Ba 🈤不取聲母
,pa,㊟同勹歸併
巴,pa,Bā
火,po,Huǒ -> Ho
灬,pba,Biāo -> Ba 🈕Hǔo
臼,pu,Jìù -> Ju 🈤不取聲母
⺽,pu,Jǔ 🈤不取聲母
鬼,pgi,Guǐ -> Gi
,pgi,
甶,pu,Fǔ -> Fu
,pu,
又,qo,Yòu -> Yo 🈤不取聲母
ス,qo,🈤無讀音取o
マ,qo,
艹,qa,Cǎo -> Ca 🈤不取聲母
卄,qa,
廾,qa,㊟同艹歸併
,qa,
,qa,
,qa,
卅,qsa,Sà
卌,qi,Xì 🈤不取聲母
丂,rka,Kào -> Ka
业,rye,Yè
,ro,🈤無讀音取o
,ro,
,ro,
,rdo,Dòu -> Do
之,ri,Ẑī -> Vi 🈤不取聲母 🈤Z和Ẑ作V
二,rje,èr -> Je 🈤零聲母小碼取J
⺀,rje,㊟同二歸併
,rje,㊟同二歸併
冫,rje,èr -> Je 🈑同二 🈑冰本字 🈕Bīng
丬,ra,Qiáŋ -> Qa 🈤不取聲母
疒,rne,Nè ㊟俗稱病字頭
⺁,ri,Yì -> Yi
來,rla,Lái -> La
卜,rbu,Bǔ
⺊,rbu,㊟同⺊歸併
,ro,🈤無讀音取o
,ro,
虎,rhu,Hǔ
虍,rhu,
,rhu,
鹵,rlu,Lǔ
罒,rwa,Wǎŋ -> Wa
皿,rmi,Mǐn -> Mi
,ro,🈤無讀音取o
羊,rya,Yáŋ -> Ya
⺷,rya,
,ro,🈤無讀音取o
见,rja,Jiàn -> j
言,ra,Yán -> Ya 🈤不取聲母
辰,rce,Ĉén -> Ce
马,rma,Mǎ
也,se,Yě
乜,sme,Miē -> Me
,ska,Kuà -> Ka
,ska,
士,si,Ŝì 🈤不取聲母
土,su,Tǔ -> Tu 🈤不取聲母
龶,se,Ŝēŋ -> Se 🈤不取聲母
耂,sla,Lǎo -> La
壴,svu,Ẑú -> Vu 🈤Z和Ẑ作V
,so,🈤無讀音取o
尤,syo,Yóu -> Yo
尢,so,Yóu -> Yo 🈤不取聲母 🈑尤本字 🈕Wāŋ
廴,si,Yín -> Yi 🈤不取聲母
豕,ssi,Ŝǐ
,ssi,
魚,syu,Yú
鳥,sna,Niǎo -> Na
,sna,
烏,swu,Wū
,swu,
丶,tu,Ẑǔ 🈤基本筆畫不取聲母 ㊟俗稱點
乀,tu,Fú 🈤基本筆畫不取聲母 ㊟俗稱捺
欠,tqa,Qiān -> Qa
匕,ti,Bi 🈤不取聲母
手,tso,Ŝǒu -> So
龵,tso,
扌,to,Ŝǒu -> So 🈤不取聲母 ㊟俗稱提手旁
用,to,Yòŋ -> Yo 🈤不取聲母
,vo,🈤無讀音取o
,vo,
亦,vyi,Yì
刀,va,Dāo -> Da 🈤不取聲母
刂,vda,Dāo -> Da ㊟俗稱立刀旁
巾,vji,Jīn -> Ji
且,ve,Qiě -> Qe 🈤不取聲母
,vo,🈤無讀音取o
水,vi,Ŝuǐ -> Si 🈤不取聲母
氵,vi,Ŝuǐ -> Si 🈤不取聲母 ㊟俗稱三點水
,vo,🈤無讀音取o
甫,vu,Fǔ -> Fu 🈤不取聲母
乃,wna,Nǎi -> Na
乙,wi,Yǐ 🈤基本筆畫不取聲母 ㊟一切折筆皆同碼
乚,wi,Yí 🈤基本筆畫不取聲母 ㊟一切折筆皆同碼
亅,wi,
卯,wma,Mǎo -> Ma
,wo,🈤無讀音取o
,wo,
,wo,
,wo,
片,wpa,Piàn -> Pa
爿,wa,Pán -> Pa 🈤不取聲母 🈕Qiáng
禾,whe,Hé
夭,wya,yāo -> Ya
讠,wa,Yán -> Ya 🈤不取聲母
辶,wo,Ĉuò -> Co 🈤不取聲母 ㊟俗稱走之底
⻍,wo,
革,wge,Gé
,wo,🈤無讀音取o
习,xi,Xí -> x
匚,xfa,Fāŋ -> Fa
木,xu,Mù 🈤不取聲母
朩,xu,
甲,xja,Jiā -> Ja 🈤不取聲母
里,xli,Lǐ
禺,xyu,yǔ
而,xje,ér -> Je 🈤零聲母小碼取J
面,xma,Miàn -> Ma
大,yda,Dà
夫,yfu,Fū
,ydi,Dí
王,ya,Wáŋ -> Wa 🈤不取聲母
瓦,ywa,Wǎ
糸,yi,Sī 🈤不取聲母 🈕Mì
非,yfe,Fēi -> Fe
