,ngi,助记：㊟同「」归并
,ngi,助记：还没想好怎么编
,ni,助记：泥「ni」人
戶,nro,助记：还没想好怎么编
小,nsi,助记：还没想好怎么编
⺌,nsi,助记：㊟同「小」归并
,nsi,助记：㊟同「小」归并
,ni,助记：比「小」少一码
,ni,助记：㊟同「」归并
尚,nvo,助记：还没想好怎么编
,nvo,助记：㊟同「尚」归并
而,nwi,助记：还没想好怎么编
目,nwu,助记：还没想好怎么编
糸,pa,助记：怕「pa」死「糸sī」
,pa,助记：㊟同「糸」归并
彑,pdi,助记：还没想好怎么编
,pdi,助记：㊟同「彑」归并
見,pdi,助记：还没想好怎么编
八,pe,助记：赔「pei」八倍
卜,pfo,助记：还没想好怎么编
,pfo,助记：㊟同「卜」归并
,pa,助记：还没想好怎么编
鹵,pwe,助记：品「pin」尝卤「鹵」味「wei」
由,pgu,助记：萍「ping」果「guo」油「由」
申,pgo,助记：还没想好怎么编
电,pvu,助记：还没想好怎么编
,pi,助记：还没想好怎么编
馬,pro,助记：被迫「po」戎「rong」馬
,pro,助记：㊟同「馬」归并
爪,pu,助记：噗「pu」地一爪
瓜,pwu,助记：劈「pi」乌「wu」瓜
鬼,pvo,助记：还没想好怎么编
,pvo,助记：㊟同「鬼」归并
干,pxu,助记：还没想好怎么编
貝,qgi,助记：还没想好怎么编
艹,qi,助记：芹「qin」菜
廾,qi,助记：㊟同「艹」归并
卅,qmi,助记：比「艹」多一码
卌,qi,助记：七「qi」夕「卌xì」
,qi,助记：㊟同「卌」归并
,qi,助记：㊟同「卌」归并
,qi,助记：㊟同「卌」归并
刀,qji,助记：欠「qian」几「ji」刀
廴,qla,助记：还没想好怎么编
艮,qne,助记：还没想好怎么编
,qne,助记：㊟同「艮」归并
又,qo,助记：还没想好怎么编
山,rhe,助记：人「ren」和「he」山
月,ri,助记：日「ri」月
,ri,助记：㊟同「月」归并
力,rjo,助记：还没想好怎么编
卯,rli,助记：日「ri」历「li」卯年
,rli,助记：㊟同「卯」归并
,ri,助记：跟「月」一样
,ri,助记：跟「月」一样
,ri,助记：跟「月」一样
,ri,助记：跟「月」一样
走,rme,助记：人「ren」没「mei」走
白,rne,助记：这人「ren」好白呢「ne」
,rme,助记：跟「走」一样
鱼,rpe,助记：让「rang」你赔「pei」鱼
上,ru,助记：如「ru」上
丄,ru,助记：㊟同「上」归并
,ru,助记：㊟同「上」归并
壬,rwi,助记：人「壬ren」为「wei」
九,rye,助记：闰「run」九月「yue」
曲,sgi,助记：还没想好怎么编
,sgi,助记：㊟同「曲」归并
入,sja,助记：三「san」过家「jia」门而不入
乃,sko,助记：嗦「suo」一口「kou」乃
弓,sle,助记：一弓射死「si」了「le」
牙,sme,助记：什「shen」么「me」牙口
向,sne,助记：还没想好怎么编
,sne,助记：㊟同「向」归并
,sne,助记：㊟同「向」归并
口,so,助记：松「song」口
〇,so,助记：㊟同「口」归并
乙,su,助记：素「su」衣「乙」
亅,su,助记：㊟同「乙」归并
,su,助记：㊟同「乙」归并
,su,助记：㊟同「乙」归并
,su,助记：㊟同「乙」归并
,su,助记：㊟同「乙」归并
,su,助记：㊟同「乙」归并
,su,助记：㊟同「乙」归并
,su,助记：㊟同「乙」归并
乚,su,助记：㊟同「乙」归并
,su,助记：㊟同「乙」归并
,su,助记：㊟同「乙」归并
,su,助记：㊟同「乙」归并
,su,助记：㊟同「乙」归并
車,the,助记：通「tong」車「che」
,the,助记：㊟同「車」归并
,the,助记：㊟同「車」归并
言,ti,助记：体「ti」验「言」
,ti,助记：跟「言」一样
門,tje,助记：偷偷「tou」进「jin」門「men」
鬥,tja,助记：还没想好怎么编
豕,tke,助记：还没想好怎么编
,tke,助记：㊟同「豕」归并
矢,tli,助记：还没想好怎么编
