而,de,ér -> e,這幾個字根都有「而」的特徵
面,dma,Miàn -> Ma,這幾個字根都有「而」的特徵
耳,dje,ěr -> Je 🈤零聲母小碼取J,這幾個字根都有「目」的特徵
雨,dyu,Yǔ,這幾個字根都有「而」的特徵
曲,dku,Qǔ -> Ku 🈤Q作K,這幾個字根都有「曲」的特徵
,do,🈤無讀音取o ㊕不做末根,這幾個字根都有「曲」的特徵
舟,dvo,Ẑōu -> Vo 🈤Z和Ẑ作V,遊離字根
皮,dpi,Pí,遊離字根
斤,dji,Jīn -> Ji,遊離字根
一,fi,Yī -> i 🈤基本筆畫不取聲母 ㊟俗稱提,這幾個字根都有「一」的特徵
厂,fa,Ĉǎŋ -> a 🈤不取聲母 🈕Hǎn Yán ān,這幾個字根都有「一」的特徵
丆,fa,Hǎn -> a 🈤不取聲母,這幾個字根都有「一」的特徵
正,fe,Ẑèŋ -> e 🈤不取聲母,這幾個字根都有「一」的特徵
世,fsi,Ŝì -> Si,遊離字根
母,fmu,Mǔ,這幾個字根都有「」的特徵
,fo,🈤無讀音取o,這幾個字根都有「」的特徵
,fo,🈤無讀音取o,這幾個字根都有「」的特徵
彑,fo,🈤生僻字取o 🈕Jì ㊟同彐對舉,這幾個字根都有「」的特徵
女,fu,Nǚ -> u 🈤不取聲母,這幾個字根都有「」的特徵
,fo,🈤無讀音取o,類
,fye,🈤取业音以繁簡對舉 ㊟對應簡體在R鍵,類
,fye,🈤取业音以繁簡對舉,類
,fyi,Yī ㊟俗稱衣字旁,這幾個字根都有「衣」的特徵
,fo,🈤無讀音取o,這幾個字根都有「衣」的特徵
,fo,🈤無讀音取o,這幾個字根都有「衣」的特徵
,fo,,這幾個字根都有「衣」的特徵
亥,fha,Hài -> Ha,這幾個字根都有「衣」的特徵
牙,fya,Yá,遊離字根
見,fja,Jiàn -> Ja ㊟對應簡體在R鍵,這幾個字根都有「目」的特徵
頁,fye,Yè ㊟對應簡體在C鍵,這幾個字根都有「目」的特徵
足,fvu,Zú -> Vu 🈤Z和Ẑ作V,足類
鸟,fna,Niǎo -> Na ㊟對應繁體在F鍵,這幾個字根都有「鸟」的特徵
,fna,㊟對應繁體在F鍵,這幾個字根都有「鸟」的特徵
乌,fwu,Wū ㊟對應繁體在F鍵,這幾個字根都有「鸟」的特徵
丰,ge,Fēŋ -> e 🈤不取聲母,遊離字根
艮,gge,Gěn -> Ge,艮類
,gge,㊟同艮歸併,艮類
厶,gi,Sī -> i 🈤不取聲母 🈑私本字 🈕Mǒu,這幾個字根都有「厶」的特徵
幺,gya,Yāo -> Ya 🈕Mì,這幾個字根都有「厶」的特徵
工,go,Gōŋ -> o 🈤不取聲母,遊離字根
弓,ggo,Gōŋ -> Go,遊離字根
田,gta,Tián -> Ta,這幾個字根都有「田」的特徵
由,gyo,Yóu = Yo,這幾個字根都有「田」的特徵
申,gse,Ŝēn -> Se,這幾個字根都有「田」的特徵
电,gda,Diàn -> Da,這幾個字根都有「田」的特徵
鱼,gyu,Yú ㊟對應簡體在S鍵,這幾個字根都有「田」的特徵
气,gki,Qì -> Ki 🈤Q作K,遊離字根
,gu,Fǔ -> f 🈤不取聲母 ㊟俗稱掛耳旁 🈑在左同阜在右同邑,遊離字根
馬,gma,Mǎ ㊟對應簡體在R鍵,馬類
,gma,,馬類
丁,hdi,Dīŋ -> d,這幾個字根都有「丅」的特徵
丅,hdi,㊟同丁歸併 🈑下本字,這幾個字根都有「丅」的特徵
下,ha,Xià -> a 🈤不取聲母,這幾個字根都有「丅」的特徵
了,hla,Liǎo -> La 🈕le,這幾個字根都有「了」的特徵
子,hvi,Zǐ -> Vi 🈤Z和Ẑ作V,這幾個字根都有「了」的特徵
孑,hje,Jié -> je ㊟多根字中都拆作子,這幾個字根都有「了」的特徵
予,hu,Yǔ -> u 🈤不取聲母,這幾個字根都有「了」的特徵
广,hga,Guǎŋ -> Ga 🈕Yǎn ān,广類
文,hwe,Wén -> We,文類
